© 2000-2024 QIAGEN. All rights reserved.

ID	Symbol	Source	miRNA Confidence	Symbol	Pathway	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TarBase	Experimentally Observed	ATP6V0A1	Adrenergic Receptor Signaling Pathway (Enhanced),CGAS-STING Signaling Pathway,Chaperone Mediated Autophagy Signaling Pathway,CLEAR Signaling Pathway,Ion channel transport,Iron homeostasis signaling pathway,Iron uptake and transport,Neutrophil degranulation,Orexin Signaling Pathway,Parkinson's Signaling Pathway,Phagosome Maturation,Role of MAPK Signaling in Promoting the Pathogenesis of Influenza,Signaling by Insulin receptor	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TarBase,TargetScan Human	Experimentally Observed,High (predicted)	ATP6V1F	Adrenergic Receptor Signaling Pathway (Enhanced),Amino acids regulate mTORC1,CGAS-STING Signaling Pathway,Chaperone Mediated Autophagy Signaling Pathway,CLEAR Signaling Pathway,Ion channel transport,Iron homeostasis signaling pathway,Iron uptake and transport,Orexin Signaling Pathway,Parkinson's Signaling Pathway,Phagosome Maturation,Role of MAPK Signaling in Promoting the Pathogenesis of Influenza,Signaling by Insulin receptor	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TarBase,TargetScan Human	Experimentally Observed,Moderate (predicted)	AURKB	Breast Cancer Regulation by Stathmin1,Cell Cycle Checkpoints,Chronic Myeloid Leukemia Signaling,Cohesin Chromatin Regulation Pathway,Histone Modification Signaling Pathway,Kinetochore Metaphase Signaling Pathway,Mitotic Metaphase and Anaphase,Mitotic Prometaphase,Regulation of mitotic cell cycle,Regulation of TP53 Activity through Phosphorylation,RHO GTPases Activate Formins,SUMOylation of DNA replication proteins,Transcriptional Regulation by MECP2	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TargetScan Mouse,Ingenuity Expert Findings,TargetScan Human	Experimentally Observed,Moderate (predicted)	BCL2L1	Amyotrophic Lateral Sclerosis Signaling,Apoptosis Signaling,B Cell Receptor Signaling,CD27 Signaling in Lymphocytes,Chronic Myeloid Leukemia Signaling,Colorectal Cancer Metastasis Signaling,CTLA4 Signaling in Cytotoxic T Lymphocytes,DNA damage-induced 14-3-3σ Signaling,Docosahexaenoic Acid (DHA) Signaling,Erythropoietin Signaling Pathway,Glucocorticoid Receptor Signaling,GM-CSF Signaling,Huntington's Disease Signaling,ID1 Signaling Pathway,IL-10 Signaling,IL-13 Signaling Pathway,IL-15 Signaling,IL-33 Signaling Pathway,IL-4 Signaling,IL-8 Signaling,Induction of Apoptosis by HIV1,Interleukin-4 and Interleukin-13 signaling,Intrinsic Pathway for Apoptosis,JAK/STAT Signaling,Lymphotoxin β Receptor Signaling,Molecular Mechanisms of Cancer,MYC Mediated Apoptosis Signaling,NLR signaling pathways,OX40 Signaling Pathway,p53 Signaling,Pancreatic Adenocarcinoma Signaling,PD-1, PD-L1 cancer immunotherapy pathway,PEDF Signaling,PI3K/AKT Signaling,PTEN Signaling,RAS processing,Role of JAK family kinases in IL-6-type Cytokine Signaling,Role of JAK2 in Hormone-like Cytokine Signaling,Role of Tissue Factor in Cancer,Small Cell Lung Cancer Signaling,Systemic Lupus Erythematosus in B Cell Signaling Pathway,UVA-Induced MAPK Signaling,VEGF Signaling	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TargetScan Human,miRecords	Experimentally Observed,Moderate (predicted)	BCL7A	 	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	miRecords	Experimentally Observed	BMP2K	 	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TargetScan Mouse,Ingenuity Expert Findings	Experimentally Observed,Moderate (predicted)	BSG	Aspirin ADME,Cell surface interactions at the vascular wall,Degradation of the extracellular matrix,Integrin cell surface interactions,S100 Family Signaling Pathway,The citric acid (TCA) cycle and respiratory electron transport,Transport of bile salts and organic acids, metal ions and amine compounds	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TarBase	Experimentally Observed	CALCOCO2	 	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TarBase	Experimentally Observed	CAPG	 	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TarBase	Experimentally Observed	CARHSP1	 	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TargetScan Mouse,TargetScan Human,miRecords	Experimentally Observed,High (predicted)	CASP3	Acetylcholine Receptor Signaling Pathway,Adrenomedullin signaling pathway,Amyotrophic Lateral Sclerosis Signaling,Apoptosis Signaling,Apoptotic execution phase,BAG2 Signaling Pathway,Cachexia Signaling Pathway,Caspase activation via Dependence Receptors in the absence of ligand,CD27 Signaling in Lymphocytes,Cellular Effects of Sildenafil (Viagra),Colorectal Cancer Metastasis Signaling,Coronavirus Pathogenesis Pathway,Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells,Death Receptor Signaling,Degradation of the extracellular matrix,DHCR24 Signaling Pathway,DNA damage-induced 14-3-3σ Signaling,Docosahexaenoic Acid (DHA) Signaling,Endocannabinoid Cancer Inhibition Pathway,Endoplasmic Reticulum Stress Pathway,Endothelin-1 Signaling,eNOS Signaling,Gap Junction Signaling,Granzyme B Signaling,Hepatic Fibrosis Signaling Pathway,HER-2 Signaling in Breast Cancer,Huntington's Disease Signaling,IL-33 Signaling Pathway,ILK Signaling,Immunogenic Cell Death Signaling Pathway,Induction of Apoptosis by HIV1,Inhibition of Angiogenesis by TSP1,Intrinsic Pathway for Apoptosis,Lymphotoxin β Receptor Signaling,Mitochondrial Dysfunction,Molecular Mechanisms of Cancer,MYC Mediated Apoptosis Signaling,NAFLD Signaling Pathway,Neuroinflammation Signaling Pathway,Neutrophil Extracellular Trap Signaling Pathway,NUR77 Signaling in T Lymphocytes,Orexin Signaling Pathway,Osteoarthritis Pathway,Other interleukin signaling,p75 NTR receptor-mediated signalling,PAK Signaling,Parkinson's Signaling Pathway,Pathogen Induced Cytokine Storm Signaling Pathway,PTEN Signaling,Pyroptosis,Pyroptosis Signaling Pathway,Retinoic acid Mediated Apoptosis Signaling,Ribonucleotide Reductase Signaling Pathway,ROBO SLIT Signaling Pathway,Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway,Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza,Role of MAPK Signaling in Promoting the Pathogenesis of Influenza,Role of MAPK Signaling in the Pathogenesis of Influenza,Role of PKR in Interferon Induction and Antiviral Response,Role of Tissue Factor in Cancer,S100 Family Signaling Pathway,Serotonin Receptor Signaling,Signaling by Hippo,Sphingosine-1-phosphate Signaling,Systemic Lupus Erythematosus in T Cell Signaling Pathway,TNFR1 Signaling,Tumoricidal Function of Hepatic Natural Killer Cells,TWEAK Signaling,Type I Diabetes Mellitus Signaling,UVA-Induced MAPK Signaling	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	Ingenuity Expert Findings,TarBase,TargetScan Human,miRecords	Experimentally Observed,Moderate (predicted)	CCND1	Acute Myeloid Leukemia Signaling,AMPK Signaling,Androgen Signaling,Aryl Hydrocarbon Receptor Signaling,BEX2 Signaling Pathway,Bladder Cancer Signaling,Breast Cancer Regulation by Stathmin1,CDX Gastrointestinal Cancer Signaling Pathway,Cell Cycle Regulation by BTG Family Proteins,Cell Cycle: G1/S Checkpoint Regulation,Chaperone Mediated Autophagy Signaling Pathway,Chronic Myeloid Leukemia Signaling,Colorectal Cancer Metastasis Signaling,Coronavirus Pathogenesis Pathway,Cyclins and Cell Cycle Regulation,Docosahexaenoic Acid (DHA) Signaling,Eicosanoid Signaling,EIF2 Signaling,Endocannabinoid Cancer Inhibition Pathway,Endocannabinoid Developing Neuron Pathway,Endometrial Cancer Signaling,ERB2-ERBB3 Signaling,Erythropoietin Signaling Pathway,ESR-mediated signaling,Estrogen Receptor Signaling,Estrogen-Dependent Breast Cancer Signaling,Estrogen-mediated S-phase Entry,Extra-nuclear estrogen signaling,Factors Promoting Cardiogenesis in Vertebrates,FAK Signaling,G-Protein Coupled Receptor Signaling,GADD45 Signaling,Gap Junction Signaling,Glioblastoma Multiforme Signaling,Glioma Signaling,GM-CSF Signaling,Hepatic Fibrosis Signaling Pathway,HER-2 Signaling in Breast Cancer,Hereditary Breast Cancer Signaling,HGF Signaling,ID1 Signaling Pathway,IL-10 Signaling,IL-7 Signaling Pathway,IL-8 Signaling,ILK Signaling,Interleukin-4 and Interleukin-13 signaling,ISGylation Signaling Pathway,Melanoma Signaling,Mitotic G1 phase and G1/S transition,Molecular Mechanisms of Cancer,MSP-RON Signaling in Cancer Cells Pathway,Non-Small Cell Lung Cancer Signaling,Ovarian Cancer Signaling,p53 Signaling,Pancreatic Adenocarcinoma Signaling,PI3K/AKT Signaling,Pre-NOTCH Expression and Processing,Prostate Cancer Signaling,PTEN Signaling,Pulmonary Fibrosis Idiopathic Signaling Pathway,Pulmonary Healing Signaling Pathway,Regulation of Cellular Mechanics by Calpain Protease,Regulation of RUNX1 Expression and Activity,Ribonucleotide Reductase Signaling Pathway,Role of JAK family kinases in IL-6-type Cytokine Signaling,Role of JAK2 in Hormone-like Cytokine Signaling,Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis,Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway,S Phase,Senescence Pathway,Signaling by PTK6,Small Cell Lung Cancer Signaling,Systemic Lupus Erythematosus in B Cell Signaling Pathway,Thyroid Cancer Signaling,TR/RXR Activation,Transcriptional regulation by RUNX2,Transcriptional regulation by RUNX3,Transcriptional Regulation by VENTX,Tumor Microenvironment Pathway,UFMylation Signaling Pathway,WNT/β-catenin Signaling	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TargetScan Mouse,TargetScan Human,miRecords	Experimentally Observed,High (predicted),Moderate (predicted)	CDC25A	3-phosphoinositide Biosynthesis,3-phosphoinositide Degradation,ATM Signaling,Cell Cycle Checkpoints,Cell Cycle: G1/S Checkpoint Regulation,Cyclins and Cell Cycle Regulation,D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis,D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis,D-myo-inositol-5-phosphate Metabolism,Deubiquitination,Estrogen-mediated S-phase Entry,IL-7 Signaling Pathway,Mitotic G1 phase and G1/S transition,Mitotic G2-G2/M phases,Mitotic Roles of Polo-Like Kinase,Molecular Mechanisms of Cancer,Protein Kinase A Signaling,Ribonucleotide Reductase Signaling Pathway,Role of CHK Proteins in Cell Cycle Checkpoint Control,S Phase,Senescence Pathway,STAT3 Pathway,Superpathway of Inositol Phosphate Compounds	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TarBase	Experimentally Observed	CDIPT	3-phosphoinositide Biosynthesis,D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis,Glycerophospholipid biosynthesis,Superpathway of Inositol Phosphate Compounds	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	miRecords	Experimentally Observed	CDK6	Aryl Hydrocarbon Receptor Signaling,Breast Cancer Regulation by Stathmin1,Cell Cycle Control of Chromosomal Replication,Cell Cycle: G1/S Checkpoint Regulation,Chronic Myeloid Leukemia Signaling,Cyclins and Cell Cycle Regulation,DNA Methylation and Transcriptional Repression Signaling,Glioblastoma Multiforme Signaling,Glioma Signaling,Hereditary Breast Cancer Signaling,Mitotic G1 phase and G1/S transition,Molecular Mechanisms of Cancer,Non-Small Cell Lung Cancer Signaling,Oncogene Induced Senescence,Oxidative Stress Induced Senescence,Pyridoxal 5'-phosphate Salvage Pathway,Regulation of Cellular Mechanics by Calpain Protease,Regulation of RUNX1 Expression and Activity,Ribonucleotide Reductase Signaling Pathway,Salvage Pathways of Pyrimidine Ribonucleotides,Senescence Pathway,Senescence-Associated Secretory Phenotype (SASP),Small Cell Lung Cancer Signaling	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TarBase,TargetScan Human	Experimentally Observed,Moderate (predicted)	CDKAL1	 	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TargetScan Mouse,TarBase,TargetScan Human	Experimentally Observed,Moderate (predicted)	CEMIP2	Chondroitin Sulfate Degradation (Metazoa),Dermatan Sulfate Degradation (Metazoa)	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TarBase	Experimentally Observed	CHMP2A	Endosomal Sorting Complex Required For Transport (ESCRT),Late endosomal microautophagy,Macroautophagy,Mechanisms of Viral Exit from Host Cells,Microautophagy Signaling Pathway,Mitotic Metaphase and Anaphase,Pyroptosis,trans-Golgi Network Vesicle Budding	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TargetScan Mouse,TarBase	Experimentally Observed,Moderate (predicted)	CIAO2A	Iron homeostasis signaling pathway	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TargetScan Mouse,TarBase,TargetScan Human	Experimentally Observed,High (predicted)	COIL	 	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TargetScan Mouse,Ingenuity Expert Findings,TargetScan Human	Experimentally Observed,Moderate (predicted)	COL1A1	Activin Inhibin Signaling Pathway,Apelin Liver Signaling Pathway,Assembly of collagen fibrils and other multimeric structures,Atherosclerosis Signaling,Binding and Uptake of Ligands by Scavenger Receptors,Cell surface interactions at the vascular wall,Collagen biosynthesis and modifying enzymes,Collagen chain trimerization,Collagen degradation,Dendritic Cell Maturation,Extracellular matrix organization,FAK Signaling,GP1b-IX-V activation signalling,GP6 Signaling Pathway,GPVI-mediated activation cascade,Hepatic Fibrosis / Hepatic Stellate Cell Activation,Hepatic Fibrosis Signaling Pathway,HOTAIR Regulatory Pathway,IL-12 Signaling and Production in Macrophages,IL-17A Signaling in Fibroblasts,IL-4 Signaling,IL-6 Signaling,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Integrin cell surface interactions,Intrinsic Prothrombin Activation Pathway,Microautophagy Signaling Pathway,Natural Killer Cell Signaling,Neutrophil Extracellular Trap Signaling Pathway,Pathogen Induced Cytokine Storm Signaling Pathway,Platelet Adhesion to exposed collagen,Platelet Aggregation (Plug Formation),Pulmonary Fibrosis Idiopathic Signaling Pathway,RAR Activation,Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway,Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis,Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway,Signaling by MET,Syndecan interactions,Transcriptional regulation by RUNX2,Tumor Microenvironment Pathway,Wound Healing Signaling Pathway	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	Ingenuity Expert Findings,TargetScan Human	Experimentally Observed,High (predicted)	COL1A2	Activin Inhibin Signaling Pathway,Apelin Liver Signaling Pathway,Assembly of collagen fibrils and other multimeric structures,Atherosclerosis Signaling,Binding and Uptake of Ligands by Scavenger Receptors,Cell surface interactions at the vascular wall,Collagen biosynthesis and modifying enzymes,Collagen chain trimerization,Collagen degradation,Dendritic Cell Maturation,Extracellular matrix organization,FAK Signaling,GP1b-IX-V activation signalling,GP6 Signaling Pathway,GPVI-mediated activation cascade,Hepatic Fibrosis / Hepatic Stellate Cell Activation,Hepatic Fibrosis Signaling Pathway,HOTAIR Regulatory Pathway,IL-12 Signaling and Production in Macrophages,IL-17A Signaling in Fibroblasts,IL-4 Signaling,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Integrin cell surface interactions,Interleukin-4 and Interleukin-13 signaling,Intrinsic Prothrombin Activation Pathway,Microautophagy Signaling Pathway,Natural Killer Cell Signaling,Neutrophil Extracellular Trap Signaling Pathway,Pathogen Induced Cytokine Storm Signaling Pathway,Platelet Adhesion to exposed collagen,Platelet Aggregation (Plug Formation),Pulmonary Fibrosis Idiopathic Signaling Pathway,RAR Activation,Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway,Signaling by MET,Syndecan interactions,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,Tumor Microenvironment Pathway,Wound Healing Signaling Pathway	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TargetScan Mouse,Ingenuity Expert Findings,TargetScan Human	Experimentally Observed,Moderate (predicted)	COL4A1	Assembly of collagen fibrils and other multimeric structures,Binding and Uptake of Ligands by Scavenger Receptors,Collagen biosynthesis and modifying enzymes,Collagen chain trimerization,Collagen degradation,Extracellular matrix organization,GP6 Signaling Pathway,Hepatic Fibrosis / Hepatic Stellate Cell Activation,IL-4 Signaling,Integrin cell surface interactions,Microautophagy Signaling Pathway,NCAM signaling for neurite out-growth,Neutrophil Extracellular Trap Signaling Pathway,Pathogen Induced Cytokine Storm Signaling Pathway,Pulmonary Fibrosis Idiopathic Signaling Pathway,Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway,Signaling by PDGF,Wound Healing Signaling Pathway	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TargetScan Mouse,Ingenuity Expert Findings,TargetScan Human	Experimentally Observed,Moderate (predicted)	COL4A2	Assembly of collagen fibrils and other multimeric structures,Binding and Uptake of Ligands by Scavenger Receptors,Collagen biosynthesis and modifying enzymes,Collagen chain trimerization,Collagen degradation,Extracellular matrix organization,GP6 Signaling Pathway,Hepatic Fibrosis / Hepatic Stellate Cell Activation,IL-4 Signaling,Integrin cell surface interactions,Microautophagy Signaling Pathway,NCAM signaling for neurite out-growth,Neutrophil Extracellular Trap Signaling Pathway,Pathogen Induced Cytokine Storm Signaling Pathway,Pulmonary Fibrosis Idiopathic Signaling Pathway,Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway,Signaling by PDGF,Wound Healing Signaling Pathway	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	Ingenuity Expert Findings,TargetScan Human	Experimentally Observed,Moderate (predicted)	COL4A5	Assembly of collagen fibrils and other multimeric structures,Collagen biosynthesis and modifying enzymes,Collagen chain trimerization,Collagen degradation,Extracellular matrix organization,GP6 Signaling Pathway,Hepatic Fibrosis / Hepatic Stellate Cell Activation,IL-4 Signaling,Integrin cell surface interactions,Microautophagy Signaling Pathway,NCAM signaling for neurite out-growth,Neutrophil Extracellular Trap Signaling Pathway,Pathogen Induced Cytokine Storm Signaling Pathway,Pulmonary Fibrosis Idiopathic Signaling Pathway,Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway,Signaling by PDGF,Signaling by ROBO receptors,Wound Healing Signaling Pathway	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	Ingenuity Expert Findings	Experimentally Observed	COL5A1	Assembly of collagen fibrils and other multimeric structures,Collagen biosynthesis and modifying enzymes,Collagen chain trimerization,Collagen degradation,Extracellular matrix organization,GP6 Signaling Pathway,Hepatic Fibrosis / Hepatic Stellate Cell Activation,IL-4 Signaling,Integrin cell surface interactions,Microautophagy Signaling Pathway,NCAM signaling for neurite out-growth,Neutrophil Extracellular Trap Signaling Pathway,Pathogen Induced Cytokine Storm Signaling Pathway,Pulmonary Fibrosis Idiopathic Signaling Pathway,Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway,Signaling by MET,Signaling by PDGF,Syndecan interactions,Wound Healing Signaling Pathway	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	Ingenuity Expert Findings	Experimentally Observed	COL5A2	Assembly of collagen fibrils and other multimeric structures,Collagen biosynthesis and modifying enzymes,Collagen chain trimerization,Collagen degradation,Extracellular matrix organization,GP6 Signaling Pathway,Hepatic Fibrosis / Hepatic Stellate Cell Activation,IL-4 Signaling,Integrin cell surface interactions,Microautophagy Signaling Pathway,NCAM signaling for neurite out-growth,Neutrophil Extracellular Trap Signaling Pathway,Pathogen Induced Cytokine Storm Signaling Pathway,Pulmonary Fibrosis Idiopathic Signaling Pathway,Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway,Signaling by MET,Signaling by PDGF,Syndecan interactions,Wound Healing Signaling Pathway	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	Ingenuity Expert Findings	Experimentally Observed	COL8A1	Assembly of collagen fibrils and other multimeric structures,Collagen biosynthesis and modifying enzymes,Collagen chain trimerization,Collagen degradation,GP6 Signaling Pathway,Hepatic Fibrosis / Hepatic Stellate Cell Activation,IL-4 Signaling,Integrin cell surface interactions,Microautophagy Signaling Pathway,Neutrophil Extracellular Trap Signaling Pathway,Pathogen Induced Cytokine Storm Signaling Pathway,Pulmonary Fibrosis Idiopathic Signaling Pathway,Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway,Wound Healing Signaling Pathway	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TarBase	Experimentally Observed	COMMD9	Neddylation,Neutrophil degranulation	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TargetScan Mouse,Ingenuity Expert Findings,TargetScan Human	Experimentally Observed,Moderate (predicted)	CRTAP	Collagen biosynthesis and modifying enzymes	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TarBase	Experimentally Observed	CSDE1	CSDE1 Signaling Pathway,MicroRNA Biogenesis Signaling Pathway	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TarBase	Experimentally Observed	CSNK1D	Amyloid Processing,Cilium Assembly,Circadian Clock,Circadian Rhythm Signaling,COPII-mediated vesicle transport,Dopamine-DARPP32 Feedback in cAMP Signaling,Gap Junction Signaling,Hepatic Fibrosis Signaling Pathway,HIPPO signaling,Hypoxia Signaling in the Cardiovascular System,Major pathway of rRNA processing in the nucleolus and cytosol,Mitotic G2-G2/M phases,Mitotic Prometaphase,p53 Signaling,Pyridoxal 5'-phosphate Salvage Pathway,Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis,Role of NFAT in Regulation of the Immune Response,Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway,Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis,Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza,Salvage Pathways of Pyrimidine Ribonucleotides,WNT/β-catenin Signaling	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	miRecords	Experimentally Observed	DAD1	 	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TarBase,TargetScan Human	Experimentally Observed,Moderate (predicted)	DHX57	 	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	miRecords	Experimentally Observed	DICER1	Gene Silencing by RNA,MicroRNA Biogenesis Signaling Pathway	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TarBase	Experimentally Observed	DOCK5	Factors involved in megakaryocyte development and platelet production,RHO GTPase cycle	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	miRecords	Experimentally Observed	DRD3	BBSome Signaling Pathway,Breast Cancer Regulation by Stathmin1,cAMP-mediated signaling,Cellular Effects of Sildenafil (Viagra),Class A/1 (Rhodopsin-like receptors),CREB Signaling in Neurons,Dopamine Receptor Signaling,Dopamine-DARPP32 Feedback in cAMP Signaling,FAK Signaling,G alpha (i) signalling events,G-Protein Coupled Receptor Signaling,Gαi Signaling,Molecular Mechanisms of Cancer,Phagosome Formation,S100 Family Signaling Pathway	
hsa-miR-4458	let-7a-5p (and other miRNAs w/seed GAGGUAG)	TarBase	Experimentally Observed	DSP	Apoptotic execution phase,ILK Signaling,Keratinization,Neutrophil degranulation,RHO GTPase cycle	
