© 2000-2024 QIAGEN. All rights reserved.

Molecule Name	Entrez Gene ID for Human	Entrez Gene ID for Mouse	Entrez Gene ID for Rat
EFNB1	1947	13641	25186
EGFR	1956	13649	24329
EGR2	1959	13654	114090
EIF3J	8669	78655|100042807	691947
EIF4G2	1982	13690	361628
ELMOD2	255520	244548	688581
ENO1	2023	13806|433182	24333
ENPP6	133121	320981	306460
EPAS1	2034	13819	29452
EPDR1	54749	105298	291180
ERBB2	2064	13866	24337
ERBB3	2065	13867	29496
ERF	2077	13875	292721
ESR1	2099	13982	24890
ETS1	2113	23871	24356
F2	2147	14061	29251
FADD	8772	14082	266610
FADS1	3992	76267	84575
FADS2	9415	56473	83512
FANCD2	2177	211651	312641
FAR1	84188	67420	293173
FBN2	2201	14119	689008
FBXW7	55294	50754	100360914
FGF7	2252	14178	29348
FGF16	8823	80903	60464
FGFR3	2261	14184	84489
FMNL2	114793	71409	499797
FMR1	2332	14265	24948
FN1	2335	14268	25661
FNDC3A	22862	319448	306022
FOS	2353	14281	314322
FOXO1	2308	56458	84482
FOXO3	2309	56484	294515
FOXP1	27086		
FRG1	2483	14300	686103|689484
FUBP1	8880	51886	654496
FXR2	9513	23879	287433
GAK	2580	231580	81659
GALNT1	2589	14423	79214
GALNT7	51809	108150	29750
GATA6	2627	14465	29300
GEMIN7	79760	69731	
GNA13	10672	14674	303634
GNAI2	2771	14678	81664
GNAO1	2775	14681	50664
GPD1	2819	14555	60666
GPD2	2820	14571	25062
GRIA2	2891	14800	29627
GRPEL2	134266	17714	688777
GTPBP3	84705	70359	290633
GYS1	2997	14936	690987
GZMB	3002		171528|502004|100361468
HBP1	26959	73389	27080
HCN1	348980	15165	84390
HDAC1	3065	433759	297893
HDAC2	3066	15182	84577
HELZ	9931	78455	287773
HIF1A	3091	15251	29560
HIPK3	10114	15259	83617
HMGA1	3159	15361|111241	117062
HMGA2	8091		
Hmga2		15364	84017
HMOX1	3162	15368	24451
HNRNPM	4670	76936	116655
HOXA1	3198	15394	103690132
HOXA11	3207	15396	103692131
HOXB7	3217	15415	497985
HOXD8	3234	15437	
HOXD10	3236	15430	303991
HSD17B12	51144	56348	84013
HSDL1	83693	72552	361418
HTR1A	3350	15550	24473
HTR1B	3351	15551	25075
HYOU1	10525	12282	192235
ICAM1	3383	15894	25464
IDH1	3417	15926	24479
IFIT5	24138		
IFRD1	3475	15982	29596
IGF1R	3480	16001	25718
IGF2BP1	10642	140486	303477
IGF2BP2	10644	319765	303824
IGF2BP3	10643	140488	312320
IKBKE	9641	56489	363984
IKZF1	10320	22778	
IL13RA1	3597	16164	252963
ING4	51147	28019	297597
INPP5D	3635	16331	54259
IPO4	79711	75751	290228
IRS1	3667	16367	25467
ITCH	83737	16396	311567
ITGA2	3673	16398	170921
ITGA5	3678	16402	315346
ITGB3	3690	16416	29302
ITGB4	3691	192897	25724
JAG1	182	16449	29146
JAK1	3716	16451	84598
JAK2	3717	16452	24514
JARID2	3720	16468	681740
JUN	3725	16476	24516
KCNJ16	3773	16517	29719
KCNQ1OT1	10984	63830	
KDM3A	55818	104263	312440
KIF5B	3799	16573	117550
KIT	3815	16590	64030
KLF4	9314	16600	114505
KLK10	5655	69540	292850
KMT2C	58508	231051	502710
KRAS	3845	16653	24525
KRT7	3855	110310	300242
KRT19	3880	16669	360626
KRT85	3891		407762
LAMC1	3915	226519	117036
LAMC2	3918	16782	192362
LCLAT1	253558	225010	362702
LDHA	3939	16828	
LDOC1	23641	434784	367956
LEF1	51176	16842	161452
LIF	3976	16878	60584
LIMK1	3984	16885	65172
LIN28A	79727	83557	500562
LINC00324	284029		
LMNB2	84823	16907	299625
LOXL2	4017	94352	290350
LOXL4	84171	67573	309380
LPL	4023	16956	24539
LRP6	4040	16974	312781
LRRC8C	84230	100604	289443
LTN1	26046	78913	288308
LY6K	54742		
MAD2L1	4085	56150	297176
MAF	4094	17132	54267
MALAT1	378938	72289	
MALAT1			
MAP2K1	5604	26395	170851
MAP2K4	6416	26398	287398
MAP3K8	1326	26410	116596
MAP3K12	7786	26404	25579
MAP4K4	9448	26921	301363
MAPKAPK2	9261	17164	289014
MAPRE1	22919	13589	114764
MARS2	92935	212679	100911305
MAT2A	4144	232087	171347
MATR3	9782	17184	29150
MAX	4149	17187	60661
MBNL1	4154	56758	282635
MECP2	4204	17257	29386
MED28	80306	66999	305391
MEF2A	4205	17258	309957
MEF2C	4208	17260	499497
MEF2D	4209	17261	81518
MEIS1	4211		
MET	4233	17295	24553
MICA	100507436		
MITF	4286	17342	25094
MLLT1	4298	64144	301119
MLLT11	10962	56772	295264
MMP1	4312	83995	300339
MMP3	4314	17392	171045
MMP9	4318	17395	81687
MMP14	4323	17387	81707
MOSPD2	158747	76763	363463
MPDU1	9526	24070	303244
MPZL1	9019	68481	360871
MRM1	79922	217038	363661
MRPS24	64951	64660	498406
MRPS33	51650	14548	296995
MSI2	124540	76626	360596
MTA1	9112	116870	64520
MTARC1	64757	66112	690745
MTDH	92140	67154	170910
MTOR	2475	56717	56718
MTPN	136319	14489	79215
MTRR	4552	210009	290947
MUC20-OT1	111753249		
MYB	4602	17863	
MYC	4609	17869	24577
MYCN	4613	18109	298894
MYD88	4615	17874	301059
MYH9	4627	17886	
MYLIP	29116	218203	306825
MYO10	4651	17909	310178
MYO1E	4643	71602	25484
MYRIP	25924	245049	360034
NANOG	79923	71950	414065
NAPG	8774	108123	
NARS1	4677	70223	291556
NCEH1	57552	320024	294930
NCL	4691	17975	25135
NCOA2	10499	17978	83724
NCOA3	8202	17979	84584
NEDD4	4734		
NEUROD1	4760	18012	29458
NF1	4763	18015	24592
NF2	4771	18016	25744
NHERF2	9351	65962	116501
NID1	4811	18073	25494
NID2	22795	18074	302248
NLK	51701	18099	497961
NOTCH1	4851	18128	25496
NOTCH2	4853	18129	29492
NOTCH4	4855	18132	406162
NPR3	4883	18162	25339
NR2F1-AS1	441094		
NR5A2	2494	26424	60349
NRAS	4893	18176	24605
NRIP1	8204	268903	304157
NT5C3A	51251	107569	312373
NT5E	4907	23959	58813
NTRK3	4916	18213	29613
NUCB1	4924	18220	84595
NUFIP2	57532	68564	681371
NXN	64359	18230	360577
ODC1	4953	18263	24609
ODF2	4957	18286	
OIP5-AS1	729082		
ONECUT1	3175	15379	25231
OSBPL2	9885	228983	296461
OSBPL8	114882	237542	314824
OTULINL	54491	223433	310190
P3H1	64175	56401	114200
P4HA2	8974	18452	360526
PAFAH1B2	5049	18475	64189
PAK5	57144	241656	311450
PCGF1	84759	69837	312480
PDCD4	27250	18569	64031
PDE3A	5139	54611	50678
PDGFA	5154	18590	25266
PDGFB	5155	18591	24628
PDK4	5166	27273	89813
PDLIM5	10611	56376	64353
PDPK1	5170	18607	81745
PEX11B	8799	18632	310682
PFKFB3	5209	170768	117276
PGC	5225	109820	24864
PGM1	5236	72157	24645
PGRMC1	10857	53328	291948
PHC2	1912	54383	313038
PICALM	8301	233489	89816
PIK3C2A	5286	18704	361632
PIK3R1	5295	18708	25513
PKD2	5311	18764	498328
PKN2	5586	109333	207122
PLA2G4B	100137049	211429	311341
PLAG1	5324	56711	297804
PLEC	5339	18810	64204
PLK1	5347	18817	25515
PLOD2	5352	26432	300901
PLXND1	23129	67784	312652
PMAIP1	5366		
PNP	4860	18950|667034	290029
PODXL	5420		
POGLUT3	143888	68304	315664
POLD2	5425	18972	289758
POLE3	54107	59001	298098
POLE4	56655	66979	362385
POLR2C	5432	20021	361365
POM121/POM121C	9883|100101267	107939	113975
PON2	5445	330260	296851
POU4F2	5458	18997	171355
PPARA	5465	19013	25747
PPARG	5468	19016	25664
PPL	5493	19041	302934
PPP1R7	5510	66385	301618
PPP2R1A	5518	51792	117281
PPP2R2A	5520	71978	117104
PPP3CA	5530	19055	24674
PPP3R1	5534	19058	29748
PPP5C	5536	19060	65179
PRAF2	11230	54637	367743
PRDM1	639	12142	309871
PRDX6	9588	11758	94167
PRF1	5551	18646	50669
PRIM1	5557	19075	
PRKCA	5578	18750	24680
PRKCI	5584	18759	84006
PRPF40A	55660	56194	295607
PRRC2A	7916	53761	294250
PTEN	5728	19211	50557
PTGFRN	5738	19221	29602
PTGS2	5743	19225	29527
PTPA	5524	110854	362102
PTPRJ	5795	19271	29645
PTPRK	5796	19272	360302
PTPRM	5797	19274	29616
PTRH1	138428	329384	362113
PUM2	23369	80913	298874
PURA	5813	19290	102557111
PVT1	5820	19296	
PXDN	7837	69675	554172
RAB23	51715	19335	367242
RAB34	83871	19376	360571
RAB27B	5874	80718	84590
RAB5C	5878	19345	287709
RAB6A	5870	19346	84379
RABGAP1L	9910	29809	304914
RAD23B	5887	19359	298012
RAI14	26064	75646	294804
RAP1B	5908	215449	171337
RAP2B	5912	74012	170923
RAS (family)			
RB1	5925	19645	24708
RBL2	5934	19651	81758
RBM19	9904	74111	304512
RBMS1	5937	56878	362138
RCN2	5955	26611	29218
RCOR1	23186	217864	102554884
RDH10	157506	98711	353252
RFFL	117584	67338	282844
RHEB	6009	19744	26954
RHOA	387	11848	117273
RHOB	388	11852	64373
RHOG	391	56212	308875
RIPK1	8737	19766	306886
ROCK2	9475	19878	25537
RPP38	10557	227522	291317
RPTOR	57521	74370	287871
RRP8	23378	101867	308911
RTCA	8634	66368	295395
RTL1	388015	353326	
RUNX1	861	12394	50662
RUNX2	860	12393	367218
RYK	6259	20187	140585
S1PR1	1901	13609	29733
SATB1	6304	20230	316164
SCAMP1	9522	107767	29521
SCN3A	6328	20269	497770
SCYL1	57410	78891	293684
SDCBP	6386	53378	83841
SEC62	7095	69276	294912
SEC23A	10484	20334	58817
SEPTIN3	55964	24050	56003
SET	6418	56086	307947
SH3BP4	23677	98402	64634
SHC1	6464	20416	85385
SHOC2	8036	56392	309548
SIAH1	6477	20437	140941
SIGMAR1	10280	18391	29336
SIRT1	23411	93759	309757
SLA	6503	20491	338477
SLC12A4	6560	20498	29501
SLC16A1	6566	20501	25027
SLC1A4	6509	55963	305540
SLC25A1	6576		
SLC25A13	10165	50799	
SLC25A24	29957	229731	310791
SLC25A32	81034	69906	315023
SLC30A1	7779	22782	58976
SLC38A1	81539	105727	170567
SLC38A2	54407	67760	29642
SLC4A7	9497	218756	117955
SLC4A10	57282	94229	295645
SLC6A4	6532	15567	25553
SLC7A1	6541	11987	25648
SLC7A6	9057	330836	307811
SLC7A11	23657	26570	310392
SMAD1	4086	17125	25671
SMAD2	4087	17126	29357
SMAD3	4088	17127	25631
SMAD4	4089	17128	50554
SMAD5	4090	17129	59328
SMARCA5	8467	93762	307766
SMC1A	8243	24061	63996
SMOX	54498	228608	308652
SNAP23	8773	20619	64630
SNAP29	9342	67474	116500
Snhg16		66293	
SNHG29	125144		
SOCS1	8651	12703	252971
SOCS3	9021	12702	89829
SOD2	6648	20656	24787
SOX4	6659	20677	364712
SPARC	6678	20692	24791
SPCS3	60559	76687	680782
SPDEF	25803	30051	689210
SPI1	6688	20375	366126
SPRY4	81848	24066	291610
SPRYD4	283377	66701	288772
SRF	6722	20807	501099
SRSF11	9295	69207	502603
STAT3	6774	20848	25125
STK4	6789	58231	311622
STRN	6801	268980	29149
STX6	10228	58244	60562
STX7	8417	53331	60466
STX1A	6804	20907	116470
SUFU	51684	24069	361769
SUZ12	23512	52615	688041
SYNE2	23224	319565	366669
SYPL1	6856	19027	366595
SYT4	6860	20983	64440
TAB2	23118	68652	308267
TACSTD2	4070	56753	494343
TAF9B	51616	407786	171152
TAGLN	6876	21345	25123
TBC1D2	55357	381605	313234
TBCA	6902	21371	366995
TBK1	29110	56480	299827
TCF4	6925	21413	84382
TCF7	6932		
TCL1A	8115	21432	690575
TEAD1	7003	21676	361630
TGFBR1	7046	21812	29591
TGFBR2	7048	21813	81810
THBS1	7057	21825	445442
THEM4	117145	75778	361992
TIMP3	7078	21859	25358
TJP1	7082	21872	292994
TLR4	7099	21898	29260
TLR7	51284	170743	317468
TM6SF1	53346	107769	361600
TMCO1	54499	68944	289196
TMED2	10959	56334|100862175	65165
TMED3	23423	66111	300888
TMED7	51014	66676	252889
TMED10	10972	68581|100042773	84599
TMEM59	9528	56374	100196907
TMEM41B	440026	233724	361626
TMEM87A	25963	211499	366170
TMT1A	25840	70152	315306
TNF	7124	21926	24835
TNFAIP2	7127	21928	299339
TNFRSF10A	8797	21933	364420
TNFRSF10B	8795		
TNRC6A	27327	233833	308971
TP53	7157	22059	24842
TP63	8626	22061	246334
TP53INP1	94241	60599	297822
Tpm1		22003	24851
TPM2	7169		
TRA	6955	21473	
TRAM1	23471	72265	312903
TRIM2	23321	80890	361970
TRIM32	22954	69807	313264
TRIM71	131405	636931	301042
TRIP13	9319	69716	292206
TRMT1	55621	212528	288914
TRPS1	7227	83925	299897
TTC9C	283237	70387	309196
TTK	7272	22137	315852
TUBA1A	7846	22142	64158
TUSC2	11334	80385	501052
TXNDC12	51060	66073	298370
TXNIP	10628	56338	117514
TXNRD1	7296	50493	58819
TYMS	7298	22171	29261
UAP1	6675	107652	498272
UBE2I	7329	22196	25573
UBE2J1	51465	56228	297961
UBE2Q1	55585	70093	295252
UFL1	23376	67490	313115
UGT8	7368	22239	50555
UHRF1	29128	18140	316129
USF2	7392	22282	81817
VAMP3	9341	22319	29528
VCAN	1462	13003	114122
VEGFA	7422	22339	83785
VEZT	55591	215008	299738
VIM	7431	22352	81818
VPS39	23339	269338	362199
VSNL1	7447	26950	24877
WDFY1	57590	69368	
WDR44	54521	72404	246152
WDR62	284403	233064	308492
WDR82	80335	77305	686295
WEE1	7465	22390	308937
WNT1	7471	22408	24881
WNT3	7473	22415	24882
WNT5A	7474	22418	64566
WNT7B	7477	22422	315196
XBP1	7494	22433	289754
YAP1	10413	22601	
ZBTB7A	51341	16969	117107
ZEB1	6935	21417	25705
ZEB2	9839	24136	311071
